input_street,input_city,input_county,input_state,most_sim_street,sim_score,mostsimstreet_id,highway,lanes,oneway
US-50 W,Rancho Cordova,Sacramento,CA,US 50,67,123741271,motorway,5,yes
Jordan Ln NW,Huntsville,Madison,AL,Jordan Lane Northwest,67,794497374,primary,4,no
I-240 W,Memphis,Shelby,TN,I 240,67,1100766102,motorway,4,yes
US-71 N,Kansas City,Jackson,MO,US 71,67,1187191527,motorway,4,yes
US-75 S,Omaha,Douglas,NE,US 75,67,188435519,motorway,2,yes
S 600 W,West Valley City,Salt Lake,UT,600 West,67,31532404,tertiary,2,Not_Present_Value
N 5th St,Richmond,Richmond City,VA,North 5th Street,67,346922695,primary,4,yes
I-294 S,Elmhurst,Cook,IL,I 294,67,61857434,motorway,6,yes
CA-91 E,Buena Park,Orange,CA,CA 91,67,913517561,motorway,4,yes
I-5,Santa Ana,Orange,CA,I 5,67,838988947,motorway,5,yes
N Pacific Hwy,Rickreall,Polk,OR,North Pacific Highway West,67,167405634,trunk,Not_Present_Value,Not_Present_Value
I-215 S,Grand Terrace,San Bernardino,CA,I 215,67,612785314,motorway,4,yes
I-279 S,Pittsburgh,Allegheny,PA,I 279,67,90573771,motorway,2,yes
I-5,Solana Beach,San Diego,CA,I 5,67,1042557103,motorway,6,yes
US-67 S,Dallas,Dallas,TX,US 67,67,54137244,motorway,4,yes
I-280 S,San Francisco,San Francisco,CA,I 280,67,27614705,motorway,2,yes
I-215 N,Menifee,Riverside,CA,I 215,67,915456990,motorway,4,yes
I-275 W,Erlanger,Kenton,KY,I 275,67,33245396,motorway,3,yes
I-235 W,Des Moines,Polk,IA,I 235,67,41191445,motorway,4,yes
I-215,San Bernardino,San Bernardino,CA,I 15,67,11420090,motorway,6,yes
I-215 S,West Valley City,Salt Lake,UT,I 215,67,31535408,motorway,4,yes
US-50 W,Bowie,Prince George's,MD,US 50,67,873412530,motorway,4,yes
SE Division St,Portland,Multnomah,OR,Southeast Division Street,67,585792844,primary,5,Not_Present_Value
CA-99 S,Galt,Sacramento,CA,CA 99,67,48473068,motorway,2,yes
Q St,Omaha,Douglas,NE,Q Street,67,170396403,secondary,2,yes
Grand Pkwy S,Katy,Harris,TX,West Grand Parkway South,67,115816556,motorway,3,yes
I-238 N,San Leandro,Alameda,CA,I 238,67,823426600,motorway,2,yes
N 1st St,Nashville,Davidson,TN,North 1st Street,67,27828566,secondary,2,yes
US-22 E,Allentown,Lehigh,PA,US 22,67,569467092,motorway,2,yes
I-895 S,Curtis Bay,Baltimore City,MD,I 895,67,158620176,motorway,2,yes
I-5,Oceanside,San Diego,CA,I 5,67,32132924,motorway,4,yes
Nance Ave,Norwalk,Los Angeles,CA,Nance Street,67,841152962,residential,Not_Present_Value,Not_Present_Value
CA-91 E,Riverside,Riverside,CA,CA 91,67,670919148,motorway,4,yes
N 3rd St,Columbia,Lancaster,PA,North 3rd Street,67,45978026,primary,Not_Present_Value,Not_Present_Value
I-195 W,Miami,Miami-Dade,FL,I 195,67,39034708,motorway,3,yes
I-294 S,Bridgeview,Cook,IL,I 294,67,992235175,motorway,4,yes
I-680 N,Dublin,Alameda,CA,I 680,67,31385625,motorway,2,yes
CA-15 N,San Diego,San Diego,CA,CA 15,67,123461874,motorway,5,yes
W 2700 N,Ogden,Weber,UT,2700 North,67,684634995,primary,Not_Present_Value,Not_Present_Value
I-680 N,Pleasant Hill,Contra Costa,CA,I 680,67,1114815477,motorway,6,yes
Belcher Rd S,Seminole,Pinellas,FL,South Belcher Road,67,1158648439,secondary,3,yes
US-20 W,Elgin,Cook,IL,US 20,67,1069881969,trunk,5,yes
CA-73 S,Newport Beach,Orange,CA,CA 73,67,120375146,motorway,4,yes
MN-77 N,Saint Paul,Dakota,MN,MN 77,67,24321606,motorway,3,yes
Michigan St NE,Grand Rapids,Kent,MI,Michigan Street Northeast,67,265857314,secondary,Not_Present_Value,Not_Present_Value
I-610 W,Houston,Harris,TX,I 610,67,1016190109,construction,3,yes
I-680 S,Walnut Creek,Contra Costa,CA,I 680,67,124952151,motorway,7,yes
CA-85 S,Saratoga,Santa Clara,CA,CA 85,67,1011949882,motorway,3,yes
I-80,Fairfield,Solano,CA,I 680,67,159940361,motorway,2,yes
MA-24 N,East Taunton,Bristol,MA,MA 24,67,46114229,motorway,2,yes
I-196 E,Wyoming,Kent,MI,I 196,67,1177170570,motorway,3,yes
CA-60 E,Whittier,Los Angeles,CA,CA 60,67,123541534,motorway,4,yes
I-410 E,San Antonio,Bexar,TX,I 410,67,122897721,motorway,6,yes
CA-99 S,Elk Grove,Sacramento,CA,CA 99,67,1188696268,motorway,2,yes
I-5,Huron,Fresno,CA,I 5,67,28136393,motorway,2,yes
CA-60 E,Ontario,San Bernardino,CA,CA 60,67,97800687,motorway,5,yes
I-105 E,Downey,Los Angeles,CA,I 105,67,125083405,motorway,2,yes
CA-57 N,Pomona,Los Angeles,CA,CA 57,67,172602004,motorway,5,yes
W 6th St,Los Angeles,Los Angeles,CA,6th Street,67,185010980,secondary,2,yes
I-710 S,Lynwood,Los Angeles,CA,I 710,67,859290446,motorway,4,yes
I-580 W,Ross Valley,Marin,CA,I 580,67,24315544,motorway,2,yes
I-676 S,Camden,Camden,NJ,I 676,67,41894818,motorway,3,yes
I-710 S,Bell Gardens,Los Angeles,CA,I 710,67,863025456,motorway,4,yes
CA-60 W,Hacienda Heights,Los Angeles,CA,CA 60,67,608730936,motorway,5,yes
W 4100 S,West Valley City,Salt Lake,UT,4100 South,67,801396875,secondary,2,yes
I-75,Stockbridge,Henry,GA,I 675,67,145887110,motorway,2,yes
Stevenson Expy S,Chicago,Cook,IL,Adlai Stevenson Expressway,67,907986728,motorway,3,yes
CA-99 N,Stockton,San Joaquin,CA,CA 99,67,48016421,motorway,2,yes
I-680 S,Danville,Contra Costa,CA,I 680,67,393495316,motorway,4,yes
I-287 N,Somerset,Somerset,NJ,I 287,67,968750769,motorway,4,yes
CA-57 S,Rowland Heights,Los Angeles,CA,CA 57,67,184689274,motorway,4,yes
I-5,Sun Valley,Los Angeles,CA,I 5,67,866329678,motorway,5,yes
CA-60 W,South El Monte,Los Angeles,CA,CA 60,67,963569972,motorway,5,yes
I-264 E,Norfolk,Norfolk,VA,I 264,67,1032599054,motorway,5,yes
I-287 S,Parsippany,Morris,NJ,I 287,67,32538748,motorway,3,yes
I-610 S,Houston,Harris,TX,I 610,67,952330388,motorway,3,yes
I-405 N,Gardena,Los Angeles,CA,I 405,67,757991594,motorway,6,yes
CA-55 N,Anaheim,Orange,CA,CA 55,67,123480843,motorway,4,yes
I-285 E,Atlanta,DeKalb,GA,I 285,67,39451157,motorway,7,yes
I-405 N,North Hills,Los Angeles,CA,I 405,67,759758435,motorway,5,yes
I-580 W,San Leandro,Alameda,CA,I 580,67,928137932,motorway,5,yes
I-105 W,Hawthorne,Los Angeles,CA,I 105,67,866335639,motorway,4,yes
I-5,Newhall,Los Angeles,CA,I 5,67,24962625,motorway,4,yes
I-440 E,Nashville,Davidson,TN,I 440,67,978416858,motorway,4,yes
I-435 S,Kansas City,Jackson,MO,I 435,67,1189603211,motorway,4,yes
CA-87 N,San Jose,Santa Clara,CA,CA 87,67,52324494,motorway,3,yes
US-75 N,Richardson,Collin,TX,US 75,67,303563365,motorway,6,yes
Inner Belt S,Saint Louis,St. Louis County,MO,Inner Belt Expressway,67,747452336,motorway,3,yes
I-795 N,Owings Mills,Baltimore County,MD,I 795,67,53168501,motorway,2,yes
US-22 E,Easton,Northampton,PA,US 22,67,572487921,motorway,3,yes
I-710 S,South Gate,Los Angeles,CA,I 710,67,866212338,motorway,4,yes
Swift Rd,Addison,DuPage,IL,North Swift Road,67,1135613945,residential,Not_Present_Value,Not_Present_Value
US-87 S,Denver,Adams,CO,US 87,67,605969032,motorway,4,yes
US-22 W,Whitehall,Lehigh,PA,US 22,67,1085311271,motorway,2,yes
I-680 S,Alamo,Contra Costa,CA,I 680,67,928210054,motorway,4,yes
US-30 E,Downingtown,Chester,PA,US 30,67,1014232265,motorway,2,yes
W 3500 S,West Valley City,Salt Lake,UT,3500 South,67,1233756585,primary,4,yes
Q St,Sacramento,Sacramento,CA,Q Street,67,1046204626,secondary,3,yes
I-696 W,Oak Park,Oakland,MI,I 696,67,28714602,motorway,4,yes
I-5,Bakersfield,Kern,CA,I 5,67,121950888,motorway,2,yes
I-605 S,Long Beach,Los Angeles,CA,I 605,67,970116552,motorway,5,yes
N 7th St,Phoenix,Maricopa,AZ,North 7th Street,67,331018733,primary,3,yes
I-5,Valencia,Los Angeles,CA,I 5,67,1030366626,motorway,4,yes
CA-41 S,Fresno,Fresno,CA,CA 41,67,36836270,motorway,4,yes
S 9th St,Modesto,Stanislaus,CA,South 9th Street,67,1286426890,primary,Not_Present_Value,yes
US-60 W,Tempe,Maricopa,AZ,US 60,67,23657872,motorway,4,yes
I-295 N,Barrington,Camden,NJ,I 295,67,32152218,motorway,3,yes
CT-15 S,Orange,New Haven,CT,CT 15,67,1090001737,motorway,2,yes
US-15 N,Frederick,Frederick,MD,US 15,67,120770825,motorway,2,yes
I-280 N,San Bruno,San Mateo,CA,I 280,67,924816312,motorway,5,yes
I-605 N,Norwalk,Los Angeles,CA,I 605,67,32019796,motorway,5,yes
CA-55 S,Costa Mesa,Orange,CA,CA 55,67,158632390,motorway,4,yes
Mission Rd,Bonsall,San Diego,CA,Mission Avenue,67,776435854,trunk,5,yes
CA-60 E,Montebello,Los Angeles,CA,CA 60,67,864073002,motorway,4,yes
I-695 E,Pikesville,Baltimore County,MD,I 695,67,11968807,motorway,5,yes
I-110 N,Baton Rouge,East Baton Rouge,LA,I 110,67,112804135,motorway,2,yes
I-5,Norwalk,Los Angeles,CA,I 5,67,32213085,motorway,5,yes
I-405 S,Inglewood,Los Angeles,CA,I 405,67,769195627,motorway,6,yes
US-75 S,Bellevue,Sarpy,NE,US 75,67,50622796,motorway,2,yes
I-805 S,Bonita,San Diego,CA,I 805,67,1009915723,motorway,6,yes
CA-14 N,Acton,Los Angeles,CA,CA 14,67,1067066387,motorway,3,yes
Walker Ave NW,Grand Rapids,Kent,MI,Walker Avenue Northwest,67,1030433070,secondary,Not_Present_Value,Not_Present_Value
I-635 S,Dallas,Dallas,TX,I 635,67,28469947,motorway,4,yes
I-355 S,Lombard,DuPage,IL,I 355,67,992413502,motorway,4,yes
I-280 N,San Francisco,San Francisco,CA,I 280,67,689603996,motorway,4,yes
CA-78 W,Carlsbad,San Diego,CA,CA 78,67,123555210,motorway,3,yes
